Size,Plain(ns),Improved(ns),OpenBLAS(ns)
16,2365.300000,171723.620000,487.260000
128,1069695.500000,272415.110000,166554.590000
400,31006513.800000,983735.800000,2534217.510000
800,306052916.200000,3866263.000000,4072967.040000
1024,0.000000,7182160.000000,8787720.000000
8192,0.000000,7198259980.000000,2434834700.000000
