Size,Plain(ns),Improved(ns),OpenBLAS(ns)
16,0.00,112.95,253.86
128,0.00,44642.14,66426.44
400,0.00,675817.63,377120.00
800,0.00,2147902.32,2329220.29
1024,0.00,4027660.00,3755280.00
8192,0.00,3794609560.00,1000404660.00
