Size,Plain(ns),Improved(ns),OpenBLAS(ns)
16,0.00,111.31,237.28
128,0.00,54229.86,68575.33
400,0.00,678259.52,374253.90
800,0.00,2148765.42,2658985.00
1024,0.00,4042860.00,3895840.00
8192,0.00,3910913280.00,976003060.00
-1652977600,0.00,0.00,0.00
